,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
118,39,Alive Sia,Alive,Sia,0.762,0.508,0.108,0.444,99.963,0.000122,0.254,68,"['australian dance', 'australian pop', 'dance pop', 'pop']"
119,39,All I ask Adele,All I Ask,Adele,0.283,0.587,0.149,0.343,141.961,0,0.882,70,['pop']
120,40,Take Care Drake ,The Motto,Drake,0.442,0.766,0.111,0.39,201.8,6.12e-05,0.000107,77,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
121,40,Too Good Drake ,Too Good,Drake,0.641,0.82,0.102,0.395,117.974,5.07e-05,0.0662,77,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
122,40,Shake it off taylor swift,Shake It Off,Taylor Swift,0.785,0.648,0.148,0.943,160.02,0,0.0561,73,"['dance pop', 'pop', 'post-teen pop']"
123,41,Treacherous  Taylor Swift ,Treacherous,Taylor Swift,0.609,0.7,0.144,0.392,109.98,5.25e-06,0.0852,57,"['dance pop', 'pop', 'post-teen pop']"
124,41,Carolina in my mind James Taylor ,Carolina In My Mind,James Taylor,0.267,0.579,0.132,0.353,74.899,0.000562,0.118,67,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
125,41,Wild horses Rolling Stones ,Wild Horses,The Rolling Stones,0.404,0.371,0.0805,0.153,74.386,0.00453,0.669,69,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']"
126,42,Low Trace,Low,TRACE,0.809,0.499,0.224,0.168,140.038,0.416,0.00459,58,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
127,42,Final Song Mo,Final Song,MØ,0.672,0.695,0.0756,0.245,104.988,8.44e-05,0.014,74,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']"
128,42,Closer Chainsmokers,Closer,The Chainsmokers,0.524,0.748,0.111,0.661,95.01,0,0.414,88,"['edm', 'electropop', 'pop', 'tropical house']"
129,43,24K Bruno Mars,That's What I Like,Bruno Mars,0.56,0.853,0.0944,0.86,134.066,0,0.013,86,"['pop', 'post-teen pop']"
130,43,Come Together The Beatles,Come Together - Remastered 2009,The Beatles,0.376,0.533,0.0926,0.187,165.007,0.248,0.0302,79,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
131,43,Closer The Chainsmokers and Halsey,The Chainsmokers ft. Halsey CLOSER,EL3ctro & NU3tro,0.244,0.466,0.118,0.199,95.022,0.0129,0.00593,20,[]
132,44,Closer Chainsmokers,Closer,The Chainsmokers,0.524,0.748,0.111,0.661,95.01,0,0.414,88,"['edm', 'electropop', 'pop', 'tropical house']"
133,44,In the end linkin park,In The End,Linkin Park,0.853,0.542,0.108,0.37,105.256,0,0.0103,85,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
134,44,Controlla drake,Controlla,Drake,0.477,0.747,0.114,0.321,93.44,0,0.0962,71,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
135,45,Howling at the Moon Milow,Howling At The Moon,Milow,0.664,0.711,0.235,0.579,127.834,0,0.204,47,"['belgian pop', 'belgian rock', 'pop quebecois']"
136,45,If I were sorry Frans,If I Were Sorry,Frans,0.612,0.735,0.103,0.395,105.056,4.12e-05,0.289,59,['classical performance']
137,45,Human RAG 'N' BONE MAN,Human,Rag'n'Bone Man,0.707,0.602,0.165,0.554,75.09,0,0.393,82,['neo soul']
138,46,Black Beatles ,Black Beatles,Rae Sremmurd,0.632,0.794,0.128,0.355,145.926,0,0.142,79,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
139,46,Starboy,Starboy,The Weeknd,0.588,0.678,0.137,0.486,186.005,6.35e-06,0.141,85,"['canadian pop', 'pop', 'rap']"
140,46,I miss you blink 182,I Miss You,blink-182,0.778,0.659,0.0841,0.623,110.022,6.79e-06,0.00136,71,"['modern rock', 'pop punk', 'punk']"
141,47,Rockae Clean Bandit,Rockae Clean Bandit,,,,,,,,,,
142,47,Craig David ain't givin up (wide awake remix),Craig David ain't givin up (wide awake remix),,,,,,,,,,
143,47,Far East movement freal luv,Freal Luv (feat. Chanyeol & Tinashe),Far East Movement,0.814,0.644,0.213,0.52,145.041,1.59e-06,0.164,54,"['dance pop', 'edm', 'pop', 'pop rap']"
144,48,No Money Galantis,No Money,Galantis,0.916,0.671,0.24,0.803,126.01,0.00762,0.0282,75,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop rap', 'tropical house']"
145,48,Shelter Porter Robinson & Madeon,,,,,,,,,,,
146,48,Love10 masara ft. Julianna & Ran,Love10 masara ft. Julianna & Ran,,,,,,,,,,
147,49,Rambo Bryson Tiller,Rambo,Bryson Tiller,0.562,0.635,0.11,0.288,181.014,2.01e-06,0.309,64,"['hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']"
148,49,The Zone The Weeknd,The Zone,The Weeknd,0.521,0.619,0.101,0.254,139.886,0.000542,0.26,64,"['canadian pop', 'pop', 'rap']"
149,49,Saint Pablo Kanye West,Saint Pablo,Kanye West,0.768,0.502,0.204,0.403,168.218,0,0.273,67,"['pop rap', 'rap']"
150,50,Foundations Kate Nash,Foundations - Full Version,Kate Nash,0.91,0.551,0.0866,0.869,84.425,0,0.0994,47,"['anti-folk', 'electropop', 'folk-pop', 'lilith', 'piano rock']"
151,50,Signed Sealed Delivered (I'm Yours) Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,0.784,0.646,0.061,0.819,108.84,0,0.00495,65,"['funk', 'motown', 'quiet storm', 'soul']"
152,50,Pine for Cedars Dan Mangan,Pine For Cedars,Dan Mangan,0.26,0.476,0.103,0.214,110.258,2.73e-05,0.645,29,"['canadian folk', 'canadian indie', 'deep new americana', 'vancouver indie']"
153,51,Arirang Song So Hee,Jeongseon Arirang,So Hee Song,0.197,0.259,0.103,0.0393,66.299,7.34e-06,0.858,13,[]
154,51,Four seasons Vivaldi ,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto",Antonio Vivaldi,0.465,0.333,0.291,0.641,169.952,0.797,0.837,62,"['baroque', 'classical', 'early music', 'italian baroque']"
155,51,No more Loco,No More Sorrow,Rotterdam Ska-Jazz Foundation,0.857,0.551,0.136,0.894,83.89,0.874,0.0616,24,"['ska', 'ska jazz', 'ska revival', 'traditional ska']"
156,52,Supernova Mr Hudson/Kanye West,Supernova (Kanye West Feat Mr. Hudson Cover),Scott Chapman,0.627,0.751,0.257,0.697,123.968,0,0.0604,4,['viral pop']
