id,tempo,tempo_categorical,liveness,liveness_categorical,valence,valence_categorical,energy,energy_categorical,dance,dance_categorical,acoustic,acoustic_categorical,instrumental,instrumental_categorical,enjoy_life,resilience,balanced,emotional_flexibility,self_actualization,health,health_categorical,gender,age_range,hours_of_music,hours_of_music_categorical,traumatic_experience,#_songs_missing
123,159.6976667,Fast,0.150666667,Low,0.527,High,0.605,Low,0.632666667,High,0.075166667,Low,0.00044183,Low,5,4,4,5,5,23,High,Male,18 - 30,1-2 hours,Medium,Yes,0
124,120.0316667,Medium-Fast,0.192,High,0.338666667,Low,0.599666667,Low,0.692,High,0.027506667,Low,0.0008435,Low,2,4,5,3,5,19,Medium,Female,18 - 30,2+ hours,High,Yes,0
125,125.8036667,Medium-Fast,0.345566667,High,0.498666667,High,0.549423333,Low,0.475666667,Low,0.474553333,High,0.296299033,High,3,2,3,2,2,12,Medium,Male,18 - 30,2+ hours,High,Yes,0
126,133.0575,Fast,0.1191,Low,0.5365,High,0.3705,Low,0.68,High,0.7045,High,0.0000208,Low,4,5,6,2,4,21,High,Female,18 - 30,1-2 hours,Medium,No,1
127,98.703,Medium-Slow,0.183766667,Low,0.622,High,0.512333333,Low,0.584666667,Low,0.485,High,0.000135,Low,6,6,6,5,4,27,High,Female,18 - 30,2+ hours,High,No,0
128,112.312,Medium-Fast,0.212,High,0.446,Low,0.571,Low,0.627333333,Low,0.114106667,Low,0.000289467,Low,4,4,4,5,5,22,High,Male,18 - 30,1-2 hours,Medium,No,0
129,116.3973333,Medium-Fast,0.145133333,Low,0.486666667,High,0.715666667,High,0.649666667,High,0.073693333,Low,0.000753877,Low,3,4,3,3,5,18,Medium,Female,17 & Under,2+ hours,High,Yes,0
130,105.7556667,Medium-Slow,0.083366667,Low,0.331233333,Low,0.459333333,Low,0.542333333,Low,0.642333333,High,0.088333333,High,1,4,2,2,3,12,Medium,Female,17 & Under,2+ hours,High,Yes,0
131,138.714,Fast,0.392833333,High,0.354666667,Low,0.535666667,Low,0.551,Low,0.679,High,0,Low,1,5,4,6,6,22,High,Female,18 - 30,1-2 hours,Medium,No,0
132,135.685,Fast,0.116333333,Low,0.587,High,0.623333333,Low,0.687666667,High,0.116966667,Low,0,Low,5,6,4,4,5,24,High,Female,18 - 30,1-2 hours,Medium,No,0
133,99.803,Medium-Slow,0.0998,Low,0.5225,High,0.6215,Low,0.6615,High,0.601,High,0,Low,0,3,2,2,0,7,Low,Male,18 - 30,2+ hours,High,No,1
